ligand_id,affinity_kcal_per_mol
emap3_Bn-3Cl_4CF3_CH2CF2CH2CF3,-5.724
emap3_Bn-3Cl_4CF3_CH2CF2CH2CH2F,-5.629
emap3_Bn-3Cl_4CF3_CH2CF2CH2CHF2,-5.425
emap3_Bn-3Cl_4CF3_CH2CF2CH2F,-5.295
emap3_Bn-3Cl_4CF3_CH2CF2H,-5.073
emap3_Bn-3Cl_4CF3_CH2CF3,-5.704
emap3_Bn-3Cl_4CF3_CH2CH2CF2CF3,-5.625
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CF3,-5.639
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CH2CF3,-6.861
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CH2CHF2,-5.851
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CH2F,-6.715
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2CHF2,-5.827
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH2F,-6.797
emap3_Bn-3Cl_4CF3_CH2CH2CF2CH3,-4.937
emap3_Bn-3Cl_4CF3_CH2CH2CF2H,-4.952
emap3_Bn-3Cl_4CF3_CH2CH2CF3,-7.037
emap3_Bn-3Cl_4CF3_CH2CH2CH2CF2CF3,-5.908
emap3_Bn-3Cl_4CF3_CH2CH2CH2CF3,-6.814
emap3_Bn-3Cl_4CF3_CH2CH2CH2CHF2,-5.769
emap3_Bn-3Cl_4CF3_CH2CH2CH2F,-4.883
emap3_Bn-3Cl_4CF3_CH2CH2CHF2,-5.092
emap3_Bn-3Cl_4CF3_CH2CH2F,-4.895
emap3_Bn-3Cl_4CF3_CH2CH2SiMe3,-6.513
emap3_Bn-3Cl_4CF3_CH2CHF2,-5.040
emap3_Bn-3Cl_4CF3_CH2F,-6.786
emap3_Bn-3Cl_4CF3_CH2SiEt3,-5.880
emap3_Bn-3Cl_4CF3_CH2SiMe3,-5.307
emap3_Bn-3Cl_4CF3_Et,-4.989
emap3_Bn-3Cl_4CF3_Me,-5.128
emap3_Bn-3Cl_4CF3_OCH2CF2CF3,-5.751
emap3_Bn-3Cl_4CF3_OCH2CF2CH2CH2F,-5.760
emap3_Bn-3Cl_4CF3_OCH2CF2CH2F,-5.448
emap3_Bn-3Cl_4CF3_OCH2CF2CH3,-5.698
emap3_Bn-3Cl_4CF3_OCH2CF2H,-5.631
emap3_Bn-3Cl_4CF3_OCH2CF3,-6.787
emap3_Bn-3Cl_4CF3_OCH2CH2CF2CF3,-7.225
emap3_Bn-3Cl_4CF3_OCH2CH2CF2CH2CH2F,-5.045
emap3_Bn-3Cl_4CF3_OCH2CH2CF2CH2F,-5.829
emap3_Bn-3Cl_4CF3_OCH2CH2CF2H,-6.532
emap3_Bn-3Cl_4CF3_OCH2CH2CF3,-6.048
emap3_Bn-3Cl_4CF3_OCH2CH2CH2CF3,-5.898
emap3_Bn-3Cl_4CF3_OCH2CH2CH2CHF2,-6.030
emap3_Bn-3Cl_4CF3_OCH2CH2CH2F,-5.335
emap3_Bn-3Cl_4CF3_OCH2CH2CHF2,-4.951
emap3_Bn-3Cl_4CF3_OCH2CH2F,-6.319
emap3_Bn-3Cl_4CF3_OCH2CHF2,-4.973
emap3_Bn-3Cl_4CF3_OCH2F,-4.814
emap3_Bn-3Cl_4CF3_OSiMe3,-5.162
emap3_Bn-3Cl_4CF3_PhCH2F,-6.270
emap3_Bn-3Cl_4CF3_nBu,-4.989
emap3_Bn-3Cl_4CF3_nPr,-4.865
emap3_Bn-3Cl_4CF3_tBu,-5.479
emap3_Bn-3Cl_BnCH2,-6.999
emap3_Bn-3Cl_CH2CF2CF3,-6.627
emap3_Bn-3Cl_CH2CF2CH2CF3,-6.336
emap3_Bn-3Cl_CH2CF2CH2CH2F,-6.061
emap3_Bn-3Cl_CH2CF2CH2CHF2,-6.299
emap3_Bn-3Cl_CH2CF2CH2F,-6.266
emap3_Bn-3Cl_CH2CF2H,-5.005
emap3_Bn-3Cl_CH2CF3,-6.267
emap3_Bn-3Cl_CH2CH2CF2CF3,-6.675
emap3_Bn-3Cl_CH2CH2CF2CH2CF3,-6.585
emap3_Bn-3Cl_CH2CH2CF2CH2CH2CF3,-6.470
emap3_Bn-3Cl_CH2CH2CF2CH2CH2CHF2,-6.440
emap3_Bn-3Cl_CH2CH2CF2CH2CH2F,-6.326
emap3_Bn-3Cl_CH2CH2CF2CH2CHF2,-5.835
emap3_Bn-3Cl_CH2CH2CF2CH2F,-6.250
emap3_Bn-3Cl_CH2CH2CF2CH3,-6.375
emap3_Bn-3Cl_CH2CH2CF2H,-6.379
emap3_Bn-3Cl_CH2CH2CF3,-6.146
emap3_Bn-3Cl_CH2CH2CH2CF2CF3,-7.080
emap3_Bn-3Cl_CH2CH2CH2CF3,-6.601
emap3_Bn-3Cl_CH2CH2CH2CHF2,-6.347
emap3_Bn-3Cl_CH2CH2CH2F,-6.407
emap3_Bn-3Cl_CH2CH2CHF2,-6.366
emap3_Bn-3Cl_CH2CH2F,-6.162
emap3_Bn-3Cl_CH2CH2SiMe3,-6.317
emap3_Bn-3Cl_CH2CHF2,-5.009
emap3_Bn-3Cl_CH2F,-6.510
emap3_Bn-3Cl_CH2SiEt3,-6.480
emap3_Bn-3Cl_CH2SiMe3,-6.215
emap3_Bn-3Cl_Et,-6.467
emap3_Bn-3Cl_Me,-5.000
emap3_Bn-3Cl_OCH2CF2CF3,-6.593
emap3_Bn-3Cl_OCH2CF2CH2CH2F,-6.407
emap3_Bn-3Cl_OCH2CF2CH2F,-6.471
emap3_Bn-3Cl_OCH2CF2CH3,-6.246
emap3_Bn-3Cl_OCH2CF2H,-6.368
emap3_Bn-3Cl_OCH2CF3,-6.682
emap3_Bn-3Cl_OCH2CH2CF2CF3,-5.844
emap3_Bn-3Cl_OCH2CH2CF2CH2CH2F,-6.554
emap3_Bn-3Cl_OCH2CH2CF2CH2F,-5.558
emap3_Bn-3Cl_OCH2CH2CF2H,-6.331
emap3_Bn-3Cl_OCH2CH2CF3,-6.301
emap3_Bn-3Cl_OCH2CH2CH2CF3,-6.373
emap3_Bn-3Cl_OCH2CH2CH2CHF2,-6.301
emap3_Bn-3Cl_OCH2CH2CH2F,-6.018
emap3_Bn-3Cl_OCH2CH2CHF2,-6.372
emap3_Bn-3Cl_OCH2CH2F,-6.148
emap3_Bn-3Cl_OCH2CHF2,-6.404
emap3_Bn-3Cl_OCH2F,-6.451
emap3_Bn-3Cl_OSiMe3,-6.115
emap3_Bn-3Cl_PhCH2F,-6.455
emap3_Bn-3Cl_nBu,-6.348
emap3_Bn-3Cl_nPr,-6.283
emap3_Bn-3Cl_tBu,-6.305
emap3_Bn-3F_4CF3_BnCH2,-5.974
emap3_Bn-3F_4CF3_CH2CF2CF3,-5.752
emap3_Bn-3F_4CF3_CH2CF2CH2CF3,-5.772
emap3_Bn-3F_4CF3_CH2CF2CH2CH2F,-5.624
emap3_Bn-3F_4CF3_CH2CF2CH2CHF2,-6.848
emap3_Bn-3F_4CF3_CH2CF2CH2F,-4.993
emap3_Bn-3F_4CF3_CH2CF2H,-4.991
emap3_Bn-3F_4CF3_CH2CF3,-5.239
emap3_Bn-3F_4CF3_CH2CH2CF2CF3,-5.689
emap3_Bn-3F_4CF3_CH2CH2CF2CH2CF3,-6.095
emap3_Bn-3F_4CF3_CH2CH2CF2CH2CH2CF3,-6.871
emap3_Bn-3F_4CF3_CH2CH2CF2CH2CH2CHF2,-5.931
emap3_Bn-3F_4CF3_CH2CH2CF2CH2CH2F,-6.373
emap3_Bn-3F_4CF3_CH2CH2CF2CH2CHF2,-6.897
emap3_Bn-3F_4CF3_CH2CH2CF2CH2F,-6.794
emap3_Bn-3F_4CF3_CH2CH2CF2CH3,-6.665
emap3_Bn-3F_4CF3_CH2CH2CF2H,-5.027
emap3_Bn-3F_4CF3_CH2CH2CF3,-6.913
emap3_Bn-3F_4CF3_CH2CH2CH2CF2CF3,-6.315
emap3_Bn-3F_4CF3_CH2CH2CH2CF3,-6.760
emap3_Bn-3F_4CF3_CH2CH2CH2CHF2,-6.729
emap3_Bn-3F_4CF3_CH2CH2CH2F,-6.132
emap3_Bn-3F_4CF3_CH2CH2CHF2,-5.037
emap3_Bn-3F_4CF3_CH2CH2F,-6.386
emap3_Bn-3F_4CF3_CH2CH2SiMe3,-6.572
emap3_Bn-3F_4CF3_CH2CHF2,-5.045
emap3_Bn-3F_4CF3_CH2F,-6.733
emap3_Bn-3F_4CF3_CH2SiEt3,-5.284
emap3_Bn-3F_4CF3_CH2SiMe3,-6.406
emap3_Bn-3F_4CF3_Et,-5.325
emap3_Bn-3F_4CF3_Me,-5.091
emap3_Bn-3F_4CF3_OCH2CF2CF3,-6.005
emap3_Bn-3F_4CF3_OCH2CF2CH2CH2F,-5.514
emap3_Bn-3F_4CF3_OCH2CF2CH2F,-5.777
emap3_Bn-3F_4CF3_OCH2CF2CH3,-5.610
emap3_Bn-3F_4CF3_OCH2CF2H,-6.592
emap3_Bn-3F_4CF3_OCH2CF3,-6.762
emap3_Bn-3F_4CF3_OCH2CH2CF2CF3,-5.638
emap3_Bn-3F_4CF3_OCH2CH2CF2CH2CH2F,-5.689
emap3_Bn-3F_4CF3_OCH2CH2CF2CH2F,-5.758
emap3_Bn-3F_4CF3_OCH2CH2CF2H,-6.610
emap3_Bn-3F_4CF3_OCH2CH2CF3,-5.733
emap3_Bn-3F_4CF3_OCH2CH2CH2CF3,-5.897
emap3_Bn-3F_4CF3_OCH2CH2CH2CHF2,-5.820
emap3_Bn-3F_4CF3_OCH2CH2CH2F,-5.447
emap3_Bn-3F_4CF3_OCH2CH2CHF2,-6.601
emap3_Bn-3F_4CF3_OCH2CH2F,-6.450
emap3_Bn-3F_4CF3_OCH2CHF2,-5.401
emap3_Bn-3F_4CF3_OCH2F,-6.454
emap3_Bn-3F_4CF3_OSiMe3,-6.399
emap3_Bn-3F_4CF3_PhCH2F,-6.778
emap3_Bn-3F_4CF3_nBu,-6.436
emap3_Bn-3F_4CF3_nPr,-6.614
emap3_Bn-3F_4CF3_tBu,-5.160
emap3_Bn-3F_4OMe_BnCH2,-5.525
emap3_Bn-3F_4OMe_CH2CF2CF3,-6.710
emap3_Bn-3F_4OMe_CH2CF2CH2CF3,-6.107
emap3_Bn-3F_4OMe_CH2CF2CH2CH2F,-5.982
emap3_Bn-3F_4OMe_CH2CF2CH2CHF2,-4.881
emap3_Bn-3F_4OMe_CH2CF2CH2F,-6.103
emap3_Bn-3F_4OMe_CH2CF2H,-6.052
emap3_Bn-3F_4OMe_CH2CF3,-5.993
emap3_Bn-3F_4OMe_CH2CH2CF2CF3,-6.450
emap3_Bn-3F_4OMe_CH2CH2CF2CH2CF3,-6.463
emap3_Bn-3F_4OMe_CH2CH2CF2CH2CH2CF3,-5.533
emap3_Bn-3F_4OMe_CH2CH2CF2CH2CH2CHF2,-6.284
emap3_Bn-3F_4OMe_CH2CH2CF2CH2CH2F,-6.011
emap3_Bn-3F_4OMe_CH2CH2CF2CH2CHF2,-6.205
emap3_Bn-3F_4OMe_CH2CH2CF2CH2F,-6.510
emap3_Bn-3F_4OMe_CH2CH2CF2CH3,-6.070
emap3_Bn-3F_4OMe_CH2CH2CF2H,-5.999
emap3_Bn-3F_4OMe_CH2CH2CF3,-6.419
emap3_Bn-3F_4OMe_CH2CH2CH2CF2CF3,-6.447
emap3_Bn-3F_4OMe_CH2CH2CH2CF3,-6.426
emap3_Bn-3F_4OMe_CH2CH2CH2CHF2,-6.573
emap3_Bn-3F_4OMe_CH2CH2CH2F,-5.914
emap3_Bn-3F_4OMe_CH2CH2CHF2,-6.279
emap3_Bn-3F_4OMe_CH2CH2F,-6.070
emap3_Bn-3F_4OMe_CH2CH2SiMe3,-5.815
emap3_Bn-3F_4OMe_CH2CHF2,-6.511
emap3_Bn-3F_4OMe_CH2F,-5.803
emap3_Bn-3F_4OMe_CH2SiEt3,-6.042
emap3_Bn-3F_4OMe_CH2SiMe3,-5.349
emap3_Bn-3F_4OMe_Et,-5.708
emap3_Bn-3F_4OMe_Me,-6.266
emap3_Bn-3F_4OMe_OCH2CF2CF3,-6.332
emap3_Bn-3F_4OMe_OCH2CF2CH2CH2F,-4.811
emap3_Bn-3F_4OMe_OCH2CF2CH2F,-5.951
emap3_Bn-3F_4OMe_OCH2CF2CH3,-6.269
emap3_Bn-3F_4OMe_OCH2CF2H,-6.253
emap3_Bn-3F_4OMe_OCH2CF3,-6.331
emap3_Bn-3F_4OMe_OCH2CH2CF2CF3,-5.894
emap3_Bn-3F_4OMe_OCH2CH2CF2CH2CH2F,-4.753
emap3_Bn-3F_4OMe_OCH2CH2CF2CH2F,-4.644
emap3_Bn-3F_4OMe_OCH2CH2CF2H,-5.958
emap3_Bn-3F_4OMe_OCH2CH2CF3,-6.110
emap3_Bn-3F_4OMe_OCH2CH2CH2CF3,-5.150
emap3_Bn-3F_4OMe_OCH2CH2CH2CHF2,-6.092
emap3_Bn-3F_4OMe_OCH2CH2CH2F,-6.287
emap3_Bn-3F_4OMe_OCH2CH2CHF2,-5.938
emap3_Bn-3F_4OMe_OCH2CH2F,-5.761
emap3_Bn-3F_4OMe_OCH2CHF2,-6.291
emap3_Bn-3F_4OMe_OCH2F,-5.993
emap3_Bn-3F_4OMe_OSiMe3,-5.010
emap3_Bn-3F_4OMe_PhCH2F,-6.646
emap3_Bn-3F_4OMe_nBu,-5.941
emap3_Bn-3F_4OMe_nPr,-4.928
emap3_Bn-3F_4OMe_tBu,-6.087
emap3_Bn-3F_4SF5_BnCH2,-6.260
emap3_Bn-3F_4SF5_CH2CF2CF3,-8.001
emap3_Bn-3F_4SF5_CH2CF2CH2CF3,-8.034
emap3_Bn-3F_4SF5_CH2CF2CH2CH2F,-7.658
emap3_Bn-3F_4SF5_CH2CF2CH2CHF2,-7.813
emap3_Bn-3F_4SF5_CH2CF2CH2F,-6.548
emap3_Bn-3F_4SF5_CH2CF2H,-6.360
emap3_Bn-3F_4SF5_CH2CF3,-5.606
emap3_Bn-3F_4SF5_CH2CH2CF2CF3,-8.217
emap3_Bn-3F_4SF5_CH2CH2CF2CH2CF3,-8.079
emap3_Bn-3F_4SF5_CH2CH2CF2CH2CH2CF3,-8.079
emap3_Bn-3F_4SF5_CH2CH2CF2CH2CH2CHF2,-6.882
emap3_Bn-3F_4SF5_CH2CH2CF2CH2CH2F,-7.647
emap3_Bn-3F_4SF5_CH2CH2CF2CH2CHF2,-7.098
emap3_Bn-3F_4SF5_CH2CH2CF2CH2F,-7.714
emap3_Bn-3F_4SF5_CH2CH2CF2CH3,-6.896
emap3_Bn-3F_4SF5_CH2CH2CF2H,-7.486
emap3_Bn-3F_4SF5_CH2CH2CF3,-8.630
emap3_Bn-3F_4SF5_CH2CH2CH2CF2CF3,-8.224
emap3_Bn-3F_4SF5_CH2CH2CH2CF3,-7.831
