round,ligand_id,smiles,MW,cLogP,logD7.4,logD7.4_est,TPSA,HBD,HBA,RotB,logS_ESOL_est,efflux_risk_0to2,E_dock,CNS_MPO_TE2052,Ki_note
R3,emap3_Bn-3F_4OMe_OCH2CH2CH2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)(F)F,561.536,4.383,,3.621,91.480,0,6,11,-5.357,2,-5.150,3.000,
R3,emap3_Bn-3F_4OMe_CH2SiMe3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](C)(C)C,521.669,4.334,,3.648,82.250,0,5,9,-5.211,1,-5.349,4.200,
R3,emap3_Bn-3F_4OMe_CH2CH2SiMe3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC[Si](C)(C)C,535.696,4.795,,4.109,82.250,0,5,10,-5.522,1,-5.815,3.000,
R3,emap3_Bn-3F_4OMe_OSiMe3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)O[Si](C)(C)C,523.641,3.720,,2.958,91.480,0,6,9,-4.836,2,-5.010,4.200,
R3,emap3_Bn-3F_4OMe_CH2SiEt3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C[Si](CC)(CC)CC,563.750,5.504,,4.819,82.250,0,5,12,-6.011,2,-6.042,1.800,
R3,emap3_Bn-3F_4OMe_tBu,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(C)(C)C,491.567,4.211,,3.526,82.250,0,5,7,-5.079,0,-6.087,4.800,
R3,emap3_Bn-3F_4OMe_BnCH2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)Cc1ccccc1C,539.611,4.813,,4.128,82.250,0,5,9,-5.624,1,-5.525,3.000,
R3,emap3_Bn-3F_4OMe_PhCH2F,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)c1ccccc1CF,543.574,4.915,,4.230,82.250,0,5,9,-5.713,1,-6.646,3.000,
R3,emap3_Bn-3F_4OMe_OCH2CF2H,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COC(F)F,515.492,3.653,,2.891,91.480,0,6,10,-4.678,2,-6.253,4.200,
R3,emap3_Bn-3F_4OMe_OCH2CH2CF2H,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCC(F)F,529.519,3.696,,2.933,91.480,0,6,11,-4.725,2,-5.958,4.200,
R3,emap3_Bn-3F_4OMe_CH2CF2H,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)C(F)F,485.466,3.852,,3.166,82.250,0,5,8,-4.748,0,-6.052,5.400,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2H,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)F,499.493,3.722,,3.036,82.250,0,5,9,-4.687,0,-5.999,5.400,
R3,emap3_Bn-3F_4OMe_OCH2CH2CH2CHF2,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)COCCC(F)F,543.546,4.086,,3.323,91.480,0,6,12,-4.992,2,-6.092,3.600,
R3,emap3_Bn-3F_4OMe_CH2CH2CF2CF3,CCN(Cc1c(F)ccc(OC)c1)C(=O)Cn2c3c(cnc(n3)c4ccccc4)n(c2=O)CC(F)C(F)(F)F,549.500,4.357,,3.671,82.250,0,5,9,-5.398,1,-6.450,4.200,
