ligand_id,source_round,MW,TPSA,HBD,HBA,RB,cLogP,logD74_EST,CNS_gate,Efflux_risk,logS_EST
"emap2_Bn-3,4diF_cPr",round2,463.49,73.02,0,6,7,3.92,3.92,Brain,tertiary_amine,-5.18
"emap2_Bn-3,4diF_iPr",round2,465.5,73.02,0,6,7,4.17,4.17,Brain,tertiary_amine,-5.35
"emap2_Bn-3,5diF_CH2CF3",round2,505.45,73.02,0,6,7,4.15,4.15,Brain,tertiary_amine,-5.56
"emap2_Bn-3,5diF_CH2CH2F",round2,469.47,73.02,0,6,8,3.56,3.56,Brain,tertiary_amine,-4.92
"emap2_Bn-3,5diF_CH2F",round2,455.44,73.02,0,6,7,3.51,3.51,Brain,tertiary_amine,-4.89
"emap2_Bn-3,5diF_CHF2",round2,473.43,73.02,0,6,7,3.98,3.98,Brain,tertiary_amine,-5.28
"emap2_Bn-3,5diF_Et",round2,451.48,73.02,0,6,7,3.61,3.61,Brain,tertiary_amine,-4.92
"emap2_Bn-3,5diF_Me",round2,437.45,73.02,0,6,6,3.12,3.12,Brain,tertiary_amine,-4.61
"emap2_Bn-3,5diF_cPr",round2,463.49,73.02,0,6,7,3.92,3.92,Brain,tertiary_amine,-5.18
"emap2_Bn-3,5diF_iPr",round2,465.5,73.02,0,6,7,4.17,4.17,Brain,tertiary_amine,-5.35
emap2_Bn-4Br_CH2CF3,round2,548.36,73.02,0,6,7,4.63,4.63,Brain,high_logP;size_flex;tertiary_amine,-6.14
emap2_Bn-4Br_CH2CH2F,round2,512.38,73.02,0,6,8,4.04,4.04,Brain,tertiary_amine,-5.51
emap2_Bn-4Br_CH2F,round2,498.36,73.02,0,6,7,4.0,4.0,Brain,tertiary_amine,-5.47
emap2_Bn-4Br_CHF2,round2,516.35,73.02,0,6,7,4.47,4.47,Brain,tertiary_amine,-5.86
emap2_Bn-4Br_Et,round2,494.39,73.02,0,6,7,4.09,4.09,Brain,tertiary_amine,-5.51
emap2_Bn-4Br_Me,round2,480.37,73.02,0,6,6,3.61,3.61,Brain,tertiary_amine,-5.2
emap2_Bn-4Br_cPr,round2,506.4,73.02,0,6,7,4.41,4.41,Brain,tertiary_amine,-5.76
emap2_Bn-4Br_iPr,round2,508.42,73.02,0,6,7,4.65,4.65,Brain,high_logP;tertiary_amine,-5.93
emap2_Bn-4CF2H_CH2CF3,round2,519.47,73.02,0,6,8,4.81,4.81,Brain,high_logP;tertiary_amine,-5.98
emap2_Bn-4CF2H_CH2CH2F,round2,483.49,73.02,0,6,9,4.22,4.22,Brain,size_flex;tertiary_amine,-5.34
emap2_Bn-4CF2H_CH2F,round2,469.47,73.02,0,6,8,4.17,4.17,Brain,tertiary_amine,-5.31
emap2_Bn-4CF2H_CHF2,round2,487.46,73.02,0,6,8,4.64,4.64,Brain,high_logP;tertiary_amine,-5.7
emap2_Bn-4CF2H_Et,round2,465.5,73.02,0,6,8,4.27,4.27,Brain,tertiary_amine,-5.34
emap2_Bn-4CF2H_Me,round2,451.48,73.02,0,6,7,3.78,3.78,Brain,tertiary_amine,-5.03
emap2_Bn-4CF2H_cPr,round2,477.52,73.02,0,6,8,4.58,4.58,Brain,high_logP;tertiary_amine,-5.6
emap2_Bn-4CF2H_iPr,round2,479.53,73.02,0,6,8,4.83,4.83,Brain,high_logP;tertiary_amine,-5.77
emap2_Bn-4CF3_CH2CF3,round2,537.46,73.02,0,6,7,4.89,4.89,Brain,high_logP;size_flex;tertiary_amine,-6.2
emap2_Bn-4CF3_CH2CH2F,round2,501.48,73.02,0,6,8,4.3,4.3,Brain,tertiary_amine,-5.56
