"t_min","Cp","Ct_extrav","Ct_keep"
15.499998,0.0007420371,0.000299563789,TRUE
16.000002,0.0007288568,0.000294205062,TRUE
16.5,0.0007161723,0.000289049772,TRUE
16.999998,0.0007039618,0.000284089347,TRUE
17.500002,0.0006922046,0.000279315615,TRUE
18,0.0006808802,0.000274720202,TRUE
18.499998,0.000669969,0.000270295033,TRUE
19.000002,0.0006594521,0.000266032233,TRUE
19.5,0.000649312,0.000261924725,TRUE
19.999998,0.0006395314,0.00025796513,TRUE
20.500002,0.0006300941,0.00025414687,TRUE
21,0.0006209848,0.000250463664,TRUE
21.499998,0.0006121889,0.000246909331,TRUE
22.000002,0.0006036925,0.000243478289,TRUE
22.5,0.0005954824,0.000240164957,TRUE
22.999998,0.0005875461,0.00023696425,TRUE
23.500002,0.0005798715,0.000233871085,TRUE
24,0.0005724474,0.000230880876,TRUE
24.499998,0.0005652627,0.000227989039,TRUE
25.000002,0.0005583072,0.000225191387,TRUE
25.5,0.0005515711,0.000222483833,TRUE
25.999998,0.0005450449,0.000219862391,TRUE
26.500002,0.0005387198,0.000217323472,TRUE
27,0.0005325871,0.000214863489,TRUE
27.499998,0.0005266388,0.000212479051,TRUE
28.000002,0.0005208672,0.000210167171,TRUE
28.5,0.0005152649,0.000207924458,TRUE
28.999998,0.000509825,0.000205748423,TRUE
29.500002,0.0005045405,0.000203635974,TRUE
30,0.000499405,0.00020158452,TRUE
30.499998,0.0004944127,0.000199591671,TRUE
31.000002,0.0004895579,0.000197655035,TRUE
31.5,0.0004848347,0.000195772319,TRUE
32.000004,0.0004802376,0.000193941032,TRUE
32.500002,0.0004757621,0.00019215948,TRUE
33,0.0004714036,0.00019042577,TRUE
33.499998,0.0004671571,0.00018873781,TRUE
34.000002,0.0004630181,0.000187093605,TRUE
34.5,0.0004589825,0.000185491763,TRUE
34.999998,0.0004550467,0.000183930488,TRUE
35.499996,0.0004512066,0.000182408387,TRUE
36,0.0004474584,0.000180923665,TRUE
36.499998,0.0004437987,0.000179475027,TRUE
37.000002,0.0004402241,0.00017806098,TRUE
37.5,0.0004367312,0.000176680327,TRUE
37.999998,0.0004333173,0.000175331773,TRUE
38.500002,0.0004299792,0.000174014123,TRUE
39,0.0004267141,0.000172726082,TRUE
39.500004,0.0004235191,0.000171466653,TRUE
40.000002,0.0004203919,0.000170234641,TRUE
40.5,0.0004173299,0.000169029249,TRUE
40.999998,0.0004143308,0.000167849282,TRUE
41.500002,0.0004113922,0.000166693943,TRUE
42,0.0004085121,0.000165562336,TRUE
42.499998,0.0004056884,0.000164453564,TRUE
42.999996,0.0004029191,0.000163366929,TRUE
43.5,0.0004002023,0.000162301537,TRUE
43.999998,0.0003975363,0.000161256688,TRUE
44.500002,0.0003949193,0.000160231587,TRUE
45,0.0003923496,0.000159225736,TRUE
45.499998,0.0003898256,0.000158238437,TRUE
46.000002,0.0003873458,0.000157268895,TRUE
46.5,0.0003849088,0.00015631671,TRUE
47.000004,0.0003825132,0.000155381185,TRUE
47.500002,0.0003801577,0.000154461924,TRUE
48,0.0003778409,0.000153558228,TRUE
48.499998,0.0003755616,0.000152669699,TRUE
49.000002,0.0003733186,0.000151795839,TRUE
49.5,0.0003711107,0.000150936051,TRUE
49.999998,0.0003689368,0.000150089937,TRUE
50.499996,0.0003667959,0.000149257199,TRUE
51,0.0003646873,0.000148437338,TRUE
51.499998,0.0003626097,0.000147629956,TRUE
52.000002,0.0003605622,0.000146834756,TRUE
52.5,0.0003585439,0.000146051238,TRUE
52.999998,0.0003565538,0.000145279006,TRUE
53.500002,0.0003545912,0.00014451786,TRUE
54,0.0003526554,0.000143767401,TRUE
54.500004,0.0003507457,0.000143027532,TRUE
55.000002,0.0003488613,0.000142297654,TRUE
55.5,0.0003470015,0.000141577668,TRUE
55.999998,0.0003451655,0.000140867176,TRUE
56.500002,0.0003433527,0.000140165979,TRUE
57,0.0003415624,0.000139473779,TRUE
57.499998,0.0003397944,0.000138790476,TRUE
57.999996,0.0003380477,0.000138115772,TRUE
58.5,0.0003363221,0.000137449369,TRUE
58.999998,0.0003346168,0.000136791067,TRUE
59.500002,0.0003329314,0.000136140769,TRUE
60,0.0003312654,0.000135498073,TRUE
60.49998,0.0003296183,0.000134863083,TRUE
61.00002,0.0003279898,0.000134235299,TRUE
61.5,0.0003263794,0.000133614821,TRUE
61.99998,0.0003247866,0.000133001252,TRUE
62.50002,0.000323211,0.000132394592,TRUE
63,0.0003216523,0.000131794643,TRUE
63.49998,0.0003201101,0.000131201204,TRUE
64.00002,0.0003185841,0.000130614177,TRUE
64.5,0.0003170738,0.000130033463,TRUE
64.99998,0.000315579,0.000129458763,TRUE
65.50002,0.0003140994,0.000128890078,TRUE
66,0.0003126345,0.000128327308,TRUE
66.49998,0.0003111841,0.000127770255,TRUE
67.00002,0.000309748,0.000127218819,TRUE
67.5,0.0003083259,0.000126672901,TRUE
67.99998,0.0003069174,0.000126132402,TRUE
68.50002,0.0003055223,0.000125597122,TRUE
69,0.0003041404,0.000125067064,TRUE
69.49998,0.0003027714,0.000124542126,TRUE
70.00002,0.000301415,0.00012402211,TRUE
70.5,0.0003000712,0.000123507117,TRUE
70.99998,0.0002987396,0.000122996847,TRUE
71.50002,0.00029742,0.000122491402,TRUE
72,0.0002961122,0.00012199048,TRUE
72.49998,0.0002948161,0.000121494185,TRUE
73.00002,0.0002935313,0.000121002416,TRUE
73.5,0.0002922578,0.000120514973,TRUE
73.99998,0.0002909953,0.000120031958,TRUE
74.50002,0.0002897437,0.000119553171,TRUE
75,0.0002885029,0.000119078612,TRUE
75.49998,0.0002872726,0.000118608183,TRUE
76.00002,0.0002860527,0.000118141783,TRUE
76.5,0.000284843,0.000117679415,TRUE
76.99998,0.0002836434,0.000117220977,TRUE
