Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0.1516667,0.001009991,0.0009639985,0.000003578341,0.001668542,0.000001972988,0.0003876588,0.0002716087,0.0009670024,0.00066767,0.0006380645
0.1533333,0.001004652,0.0009596854,0.000003582137,0.001659761,0.000001984109,0.0003859102,0.0002703881,0.0009626687,0.0006641609,0.0006352072
0.155,0.0009993936,0.0009553993,0.000003585926,0.001651003,0.00000199518,0.000384172,0.0002691752,0.000958362,0.0006607039,0.000632368
0.1566667,0.0009942134,0.00095114,0.000003589708,0.001642274,0.0000020062,0.0003824439,0.0002679702,0.000954082,0.0006572973,0.0006295466
0.1583333,0.0009891087,0.0009469076,0.000003593482,0.001633577,0.000002017171,0.0003807258,0.0002667729,0.0009498289,0.0006539396,0.0006267434
0.16,0.0009840773,0.0009427022,0.00000359725,0.001624913,0.000002028093,0.0003790179,0.0002655835,0.0009456027,0.0006506293,0.0006239581
0.1616667,0.0009791174,0.0009385244,0.000003601012,0.001616286,0.000002038966,0.0003773205,0.000264402,0.000941404,0.0006473652,0.0006211912
0.1633333,0.0009742266,0.000934374,0.000003604769,0.001607697,0.00000204979,0.0003756335,0.0002632285,0.0009372327,0.0006441459,0.0006184427
0.165,0.0009694031,0.0009302513,0.000003608521,0.001599149,0.000002060565,0.0003739571,0.0002620629,0.0009330892,0.0006409701,0.0006157126
0.1666667,0.000964645,0.0009261564,0.00000361227,0.001590644,0.000002071293,0.0003722912,0.0002609053,0.0009289733,0.0006378368,0.0006130011
0.1683333,0.0009599504,0.0009220893,0.000003616016,0.001582184,0.000002081972,0.0003706361,0.0002597557,0.0009248853,0.0006347445,0.0006103081
0.17,0.0009553178,0.0009180502,0.000003619759,0.00157377,0.000002092604,0.0003689916,0.0002586141,0.0009208252,0.0006316925,0.0006076337
0.1716667,0.0009507454,0.0009140391,0.0000036235,0.001565404,0.000002103189,0.000367358,0.0002574805,0.0009167932,0.0006286796,0.0006049779
0.1733333,0.0009462317,0.000910056,0.000003627239,0.001557087,0.000002113727,0.0003657352,0.000256355,0.0009127893,0.0006257048,0.0006023409
0.175,0.000941775,0.0009061011,0.000003630978,0.001548821,0.000002124218,0.0003641233,0.0002552375,0.0009088134,0.000622767,0.0005997226
0.1766667,0.0009373742,0.0009021742,0.000003634716,0.001540605,0.000002134663,0.0003625223,0.000254128,0.0009048657,0.0006198655,0.0005971229
0.1783333,0.0009330278,0.0008982756,0.000003638454,0.001532442,0.000002145062,0.0003609324,0.0002530266,0.0009009463,0.0006169993,0.000594542
0.18,0.0009287345,0.0008944051,0.000003642192,0.001524332,0.000002155415,0.0003593536,0.0002519332,0.000897055,0.0006141678,0.0005919798
