Time [h],PeripheralVenousBlood-Analog3-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog3-Concentration in container [µmol/l],Brain-Analog3-Tissue [µmol/l],Liver-Analog3-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog3-Concentration in container [µmol/l],Brain-Interstitial-Analog3-Concentration in container [µmol/l],Brain-BloodCells-Analog3-Concentration in container [µmol/l],Brain-Plasma-Analog3-Concentration in container [µmol/l],PeripheralVenousBlood-Analog3-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog3-Whole Blood [µmol/l]
0.1366667,0.000778703,0.0007228759,0.000002700258,0.001981784,0.000001575723,0.0002717453,0.0002970579,0.0007248978,0.0005603197,0.0005222856
0.1383333,0.0007729729,0.0007200296,0.000002703948,0.001977124,0.000001584261,0.0002705888,0.0002958487,0.0007220106,0.000556307,0.0005202114
0.14,0.0007673942,0.0007172219,0.000002707686,0.001972322,0.000001592764,0.0002694529,0.0002946572,0.0007191641,0.0005523989,0.0005181657
0.1416667,0.0007619616,0.000714451,0.00000271147,0.001967385,0.00000160123,0.0002683362,0.0002934826,0.0007163564,0.0005485917,0.0005161474
0.1433333,0.00075667,0.000711715,0.000002715293,0.001962321,0.000001609662,0.0002672375,0.0002923241,0.0007135857,0.0005448817,0.000514155
0.145,0.0007515143,0.0007090123,0.000002719154,0.001957137,0.00000161806,0.000266156,0.0002911809,0.0007108498,0.0005412657,0.0005121872
0.1466667,0.0007464899,0.0007063412,0.000002723049,0.001951841,0.000001626423,0.0002650908,0.0002900522,0.0007081472,0.0005377402,0.000510243
0.1483333,0.0007415921,0.0007037004,0.000002726975,0.001946438,0.000001634754,0.000264041,0.0002889375,0.0007054764,0.0005343019,0.0005083212
0.15,0.0007368163,0.0007010884,0.000002730929,0.001940935,0.000001643051,0.0002630057,0.0002878361,0.000702836,0.0005309478,0.0005064209
0.1516667,0.0007321583,0.000698504,0.000002734908,0.001935338,0.000001651316,0.0002619842,0.0002867474,0.0007002245,0.000527675,0.0005045411
0.1533333,0.0007276139,0.0006959459,0.00000273891,0.001929653,0.000001659549,0.000260976,0.0002856707,0.0006976405,0.0005244803,0.0005026808
0.155,0.000723179,0.0006934127,0.000002742933,0.001923885,0.00000166775,0.0002599803,0.0002846055,0.0006950826,0.0005213612,0.0005008391
0.1566667,0.0007188499,0.0006909037,0.000002746975,0.00191804,0.000001675921,0.0002589967,0.0002835514,0.0006925499,0.0005183148,0.0004990154
0.1583333,0.0007146226,0.000688419,0.000002751032,0.001912123,0.00000168406,0.0002580242,0.0002825086,0.0006900428,0.0005153387,0.0004972097
0.16,0.0007104936,0.0006859569,0.000002755104,0.001906138,0.000001692169,0.0002570625,0.0002814762,0.0006875594,0.0005124303,0.0004954209
0.1616667,0.0007064595,0.0006835166,0.00000275919,0.00190009,0.000001700247,0.0002561112,0.0002804537,0.0006850985,0.0005095873,0.0004936482
0.1633333,0.0007025168,0.0006810967,0.000002763287,0.001893983,0.000001708296,0.0002551698,0.0002794407,0.0006826592,0.0005068072,0.0004918908
0.165,0.0006986625,0.0006786966,0.000002767394,0.001887824,0.000001716315,0.0002542381,0.0002784366,0.0006802401,0.0005040878,0.000490148
0.1666667,0.0006948934,0.0006763146,0.000002771511,0.001881614,0.000001724305,0.0002533157,0.0002774407,0.0006778398,0.000501427,0.0004884187
0.1683333,0.0006912065,0.0006739496,0.000002775638,0.00187536,0.000001732266,0.0002524023,0.0002764523,0.0006754568,0.0004988227,0.0004867021
0.17,0.0006875987,0.0006716067,0.000002779768,0.001869061,0.000001740198,0.0002514968,0.0002754745,0.0006730973,0.000496273,0.0004850019
0.1716667,0.0006840671,0.0006692819,0.000002783903,0.001862724,0.000001748101,0.0002505994,0.0002745049,0.0006707566,0.0004937761,0.0004833151
0.1733333,0.0006806094,0.0006669741,0.000002788043,0.001856351,0.000001755977,0.0002497099,0.000273543,0.0006684336,0.0004913298,0.000481641
0.175,0.000677223,0.0006646824,0.000002792186,0.001849947,0.000001763824,0.0002488279,0.0002725884,0.0006661271,0.0004889326,0.0004799789
0.1766667,0.0006739052,0.0006624058,0.000002796333,0.001843514,0.000001771644,0.0002479533,0.0002716406,0.000663836,0.0004865826,0.000478328
0.1783333,0.0006706539,0.0006601433,0.000002800482,0.001837057,0.000001779436,0.0002470858,0.0002706989,0.0006615592,0.0004842781,0.0004766875
0.18,0.0006674668,0.0006578934,0.000002804634,0.001830578,0.000001787201,0.0002462254,0.0002697627,0.0006592951,0.0004820176,0.0004750564
0.1816667,0.0006643414,0.0006556603,0.000002808785,0.001824078,0.000001794939,0.0002453714,0.0002688342,0.0006570484,0.0004797997,0.0004734378
0.1833333,0.0006612754,0.0006534439,0.000002812935,0.00181756,0.00000180265,0.0002445236,0.0002679134,0.0006548192,0.000477623,0.0004718315
0.185,0.0006582671,0.0006512415,0.000002817085,0.001811027,0.000001810335,0.000243682,0.0002669989,0.0006526042,0.0004754859,0.0004702356
0.1866667,0.0006553143,0.0006490523,0.000002821232,0.001804481,0.000001817992,0.0002428464,0.0002660903,0.000650403,0.000473387,0.0004686496
0.1883333,0.0006524153,0.0006468761,0.000002825378,0.001797926,0.000001825624,0.0002420166,0.0002651874,0.0006482147,0.0004713251,0.000467073
0.19,0.0006495681,0.0006447121,0.000002829522,0.001791364,0.00000183323,0.0002411924,0.0002642899,0.0006460389,0.0004692988,0.0004655056
0.1916667,0.000646771,0.0006425595,0.000002833662,0.001784798,0.00000184081,0.0002403735,0.0002633974,0.0006438746,0.0004673068,0.0004639466
0.1933333,0.0006440222,0.0006404193,0.000002837799,0.001778227,0.000001848364,0.00023956,0.0002625102,0.0006417226,0.0004653482,0.0004623968
0.195,0.0006413203,0.0006382935,0.000002841932,0.001771654,0.000001855892,0.0002387519,0.0002616297,0.0006395858,0.000463422,0.0004608576
0.1966667,0.0006386636,0.0006361799,0.000002846062,0.001765081,0.000001863396,0.0002379489,0.0002607545,0.0006374614,0.0004615269,0.0004593274
0.1983333,0.0006360504,0.0006340783,0.000002850186,0.001758509,0.000001870874,0.0002371508,0.0002598847,0.0006353492,0.000459662,0.0004578062
0.2,0.0006334794,0.0006319886,0.000002854306,0.001751942,0.000001878326,0.0002363574,0.00025902,0.0006332491,0.000457826,0.0004562937
0.2016667,0.0006309492,0.0006299107,0.00000285842,0.001745379,0.000001885754,0.0002355687,0.0002581606,0.000631161,0.0004560182,0.0004547899
0.2033333,0.0006284582,0.0006278443,0.000002862529,0.001738824,0.000001893158,0.0002347846,0.0002573063,0.0006290847,0.0004542375,0.0004532946
0.205,0.0006260052,0.0006257895,0.000002866631,0.001732277,0.000001900537,0.0002340047,0.0002564571,0.00062702,0.0004524831,0.0004518079
