ligand_id,logD7.4_est,TPSA,E_dock
emap3_Bn-3F_CH2CH2CHF2,3.104,73.02,-6.242
emap3_Bn-3F_CH2CH2CH2CHF2,3.495,73.02,-6.387
emap3_Bn-3F_CH2CF3,3.316,73.02,-6.035
emap3_Bn-3F_CH2CH2CF3,3.402,73.02,-6.699
emap3_Bn-3F_CH2CH2CH2CF3,3.792,73.02,-6.457
emap3_Bn-3F_OCH2F,2.621,82.25,-6.002
emap3_Bn-3F_OCH2CHF2,2.959,82.25,-6.23
emap3_Bn-3F_OCH2CF3,3.256,82.25,-6.472
emap3_Bn-3F_OCH2CH2F,2.663,82.25,-6.103
emap3_Bn-3F_OCH2CH2CF3,3.299,82.25,-6.333
emap3_Bn-3F_OCH2CH2CHF2,3.002,82.25,-6.185
emap3_Bn-3F_OCH2CH2CH2F,2.706,82.25,-5.971
emap3_Bn-3F_OCH2CH2CH2CF3,3.689,82.25,-6.754
emap3_Bn-3F_CH2SiMe3,3.717,73.02,-6.423
emap3_Bn-3F_CH2CH2SiMe3,4.178,73.02,-6.163
emap3_Bn-3F_OSiMe3,3.026,82.25,-6.344
emap3_Bn-3F_CH2SiEt3,4.887,73.02,-5.706
emap3_Bn-3F_tBu,3.594,73.02,-6.27
emap3_Bn-3F_BnCH2,4.196,73.02,-6.996
emap3_Bn-3F_PhCH2F,4.298,73.02,-6.524
emap3_Bn-3F_OCH2CF2H,2.959,82.25,-6.179
emap3_Bn-3F_OCH2CH2CF2H,3.002,82.25,-6.256
emap3_Bn-3F_CH2CF2H,3.234,73.02,-4.997
emap3_Bn-3F_CH2CH2CF2H,3.104,73.02,-6.244
emap3_Bn-3F_OCH2CH2CH2CHF2,3.392,82.25,-5.591
emap3_Bn-3F_CH2CH2CF2CF3,3.74,73.02,-6.334
emap3_Bn-3F_CH2CF2CF3,3.87,73.02,-6.51
emap3_Bn-3F_CH2CH2CH2CF2CF3,4.13,73.02,-6.536
emap3_Bn-3F_CH2CH2CF2CH3,3.197,73.02,-6.386
emap3_Bn-3F_OCH2CF2CF3,3.594,82.25,-6.725
emap3_Bn-3F_OCH2CF2CH3,3.052,82.25,-6.195
emap3_Bn-3F_OCH2CH2CF2CF3,3.637,82.25,-5.528
emap3_Bn-3F_CH2CF2CH2F,3.277,73.02,-6.225
emap3_Bn-3F_CH2CH2CF2CH2F,3.147,73.02,-6.173
emap3_Bn-3F_OCH2CF2CH2F,3.002,82.25,-6.137
emap3_Bn-3F_CH2CH2CF2CH2CHF2,3.443,73.02,-6.257
emap3_Bn-3F_CH2CH2CF2CH2CF3,3.74,73.02,-5.886
emap3_Bn-3F_OCH2CH2CF2CH2F,3.044,82.25,-5.657
emap3_Bn-3F_CH2CH2CF2CH2CH2F,3.537,73.02,-0.273
emap3_Bn-3F_CH2CF2CH2CH2F,3.667,73.02,-6.126
emap3_Bn-3F_CH2CF2CH2CHF2,3.573,73.02,-6.32
emap3_Bn-3F_CH2CF2CH2CF3,3.87,73.02,-6.555
emap3_Bn-3F_OCH2CF2CH2CH2F,3.392,82.25,-6.406
emap3_Bn-3F_OCH2CH2CF2CH2CH2F,3.434,82.25,-5.92
emap3_Bn-3F_CH2CH2CF2CH2CH2CHF2,3.833,73.02,-6.499
emap3_Bn-3F_CH2CH2CF2CH2CH2CF3,4.13,73.02,-6.639
emap3_Bn-2F_Me,2.376,73.02,-6.385
emap3_Bn-2F_Et,2.859,73.02,-6.11
emap3_Bn-2F_nPr,3.249,73.02,-6.333
emap3_Bn-2F_nBu,3.639,73.02,-6.357
emap3_Bn-2F_CH2F,2.766,73.02,-5.15
emap3_Bn-2F_CH2CH2F,2.809,73.02,-6.1
emap3_Bn-2F_CH2CH2CH2F,3.199,73.02,-6.191
emap3_Bn-2F_CH2CHF2,3.234,73.02,-6.183
emap3_Bn-2F_CH2CH2CHF2,3.104,73.02,-6.359
emap3_Bn-2F_CH2CH2CH2CHF2,3.495,73.02,-6.462
emap3_Bn-2F_CH2CF3,3.316,73.02,-6.289
emap3_Bn-2F_CH2CH2CF3,3.402,73.02,-6.163
emap3_Bn-2F_CH2CH2CH2CF3,3.792,73.02,-6.294
emap3_Bn-2F_OCH2F,2.621,82.25,-5.186
emap3_Bn-2F_OCH2CHF2,2.959,82.25,-6.44
emap3_Bn-2F_OCH2CF3,3.256,82.25,-6.37
emap3_Bn-2F_OCH2CH2F,2.663,82.25,-6.125
emap3_Bn-2F_OCH2CH2CF3,3.299,82.25,-6.221
emap3_Bn-2F_OCH2CH2CHF2,3.002,82.25,-6.049
emap3_Bn-2F_OCH2CH2CH2F,2.706,82.25,-6.139
emap3_Bn-2F_OCH2CH2CH2CF3,3.689,82.25,-5.704
emap3_Bn-2F_CH2SiMe3,3.717,73.02,-6.072
emap3_Bn-2F_CH2CH2SiMe3,4.178,73.02,-5.508
emap3_Bn-2F_OSiMe3,3.026,82.25,-6.002
emap3_Bn-2F_CH2SiEt3,4.887,73.02,-5.912
emap3_Bn-2F_tBu,3.594,73.02,-6.335
emap3_Bn-2F_BnCH2,4.196,73.02,-6.876
emap3_Bn-2F_PhCH2F,4.298,73.02,-6.491
emap3_Bn-2F_OCH2CF2H,2.959,82.25,-6.371
emap3_Bn-2F_OCH2CH2CF2H,3.002,82.25,-6.133
emap3_Bn-2F_CH2CF2H,3.234,73.02,-6.195
emap3_Bn-2F_CH2CH2CF2H,3.104,73.02,-6.371
emap3_Bn-2F_OCH2CH2CH2CHF2,3.392,82.25,-6.36
emap3_Bn-2F_CH2CH2CF2CF3,3.74,73.02,-7.1
emap3_Bn-2F_CH2CF2CF3,3.87,73.02,-6.437
emap3_Bn-2F_CH2CH2CH2CF2CF3,4.13,73.02,-6.57
emap3_Bn-2F_CH2CH2CF2CH3,3.197,73.02,-6.477
emap3_Bn-2F_OCH2CF2CF3,3.594,82.25,-6.44
emap3_Bn-2F_OCH2CF2CH3,3.052,82.25,-6.332
emap3_Bn-2F_OCH2CH2CF2CF3,3.637,82.25,-5.753
emap3_Bn-2F_CH2CF2CH2F,3.277,73.02,-6.319
emap3_Bn-2F_CH2CH2CF2CH2F,3.147,73.02,-6.181
emap3_Bn-2F_OCH2CF2CH2F,3.002,82.25,-6.269
emap3_Bn-2F_CH2CH2CF2CH2CHF2,3.443,73.02,-5.707
emap3_Bn-2F_CH2CH2CF2CH2CF3,3.74,73.02,-6.414
emap3_Bn-2F_OCH2CH2CF2CH2F,3.044,82.25,-6.165
emap3_Bn-2F_CH2CH2CF2CH2CH2F,3.537,73.02,-5.599
emap3_Bn-2F_CH2CF2CH2CH2F,3.667,73.02,-6.154
emap3_Bn-2F_CH2CF2CH2CHF2,3.573,73.02,-6.273
emap3_Bn-2F_CH2CF2CH2CF3,3.87,73.02,-6.427
emap3_Bn-2F_OCH2CF2CH2CH2F,3.392,82.25,-5.944
emap3_Bn-2F_OCH2CH2CF2CH2CH2F,3.434,82.25,-5.915
emap3_Bn-2F_CH2CH2CF2CH2CH2CHF2,3.833,73.02,-6.777
emap3_Bn-2F_CH2CH2CF2CH2CH2CF3,4.13,73.02,-6.566
emap3_Bn-4Cl_Me,2.891,73.02,-5.522
emap3_Bn-4Cl_Et,3.374,73.02,-6.243
emap3_Bn-4Cl_nPr,3.764,73.02,-6.247
emap3_Bn-4Cl_nBu,4.154,73.02,-6.142
emap3_Bn-4Cl_CH2F,3.281,73.02,-6.204
emap3_Bn-4Cl_CH2CH2F,3.323,73.02,-5.951
emap3_Bn-4Cl_CH2CH2CH2F,3.713,73.02,-6.126
emap3_Bn-4Cl_CH2CHF2,3.749,73.02,-6.117
emap3_Bn-4Cl_CH2CH2CHF2,3.619,73.02,-6.258
emap3_Bn-4Cl_CH2CH2CH2CHF2,4.009,73.02,-5.144
emap3_Bn-4Cl_CH2CF3,3.83,73.02,-6.223
emap3_Bn-4Cl_CH2CH2CF3,3.916,73.02,-6.55
emap3_Bn-4Cl_CH2CH2CH2CF3,4.306,73.02,-6.287
emap3_Bn-4Cl_OCH2F,3.135,82.25,-6.154
emap3_Bn-4Cl_OCH2CHF2,3.473,82.25,-6.38
emap3_Bn-4Cl_OCH2CF3,3.771,82.25,-6.37
emap3_Bn-4Cl_OCH2CH2F,3.178,82.25,-6.218
emap3_Bn-4Cl_OCH2CH2CF3,3.813,82.25,-5.695
emap3_Bn-4Cl_OCH2CH2CHF2,3.516,82.25,-5.794
emap3_Bn-4Cl_OCH2CH2CH2F,3.22,82.25,-5.987
emap3_Bn-4Cl_OCH2CH2CH2CF3,4.203,82.25,-5.414
emap3_Bn-4Cl_CH2SiMe3,4.231,73.02,-6.2
emap3_Bn-4Cl_CH2CH2SiMe3,4.692,73.02,-5.665
emap3_Bn-4Cl_OSiMe3,3.54,82.25,-6.235
emap3_Bn-4Cl_CH2SiEt3,5.401,73.02,-6.007
emap3_Bn-4Cl_tBu,4.109,73.02,-6.234
emap3_Bn-4Cl_BnCH2,4.71,73.02,-6.244
emap3_Bn-4Cl_PhCH2F,4.812,73.02,-5.772
emap3_Bn-4Cl_OCH2CF2H,3.473,82.25,-6.298
emap3_Bn-4Cl_OCH2CH2CF2H,3.516,82.25,-5.709
