endpoint,endpoint_label,endpoint_class,candidate,n_independent_trajectories,mean,sd,median,min,max,analysis_type
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,secondary,AC-5216,5,17.408955223880596,4.371389856894302,17.71641791044776,11.26865671641791,22.05970149253731,descriptive
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,secondary,A3,5,9.629928891101287,2.8204543711902343,9.03910171926318,6.607966985275496,13.48312016387484,descriptive
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,secondary,A7,5,6.723530824386065,1.512426786421521,7.485553962081226,4.36164602118345,8.1222084600534,descriptive
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,secondary,A8,5,6.6505635335077695,1.1107046952017303,6.944448250443188,5.1655590534210205,7.977271668353484,descriptive
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,secondary,A15,5,8.783749919625658,1.1828011064456112,8.536951655772194,7.614251948114651,10.645992729794326,descriptive
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,secondary,AC-5216,5,6.555051628036878,1.5200808561528156,5.952504974099534,4.811222918591096,8.199695459052698,descriptive
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,secondary,A3,5,-0.12590050360201452,11.88733642077907,-4.1943967775871105,-10.967859871439488,20.18939275757103,descriptive
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,secondary,A7,5,-1.4062240248960975,4.31129438087511,-2.28951715806863,-6.179516718066868,3.38561354245417,descriptive
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,secondary,A8,5,1.3158644634578536,2.926874265879195,0.896183584734338,-1.879655518622073,5.74561498245993,descriptive
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,secondary,A15,5,-4.692587570350281,5.365741628486442,-3.646462585850344,-12.185664742658972,1.6178744714978848,descriptive
