endpoint,endpoint_label,candidate,n_independent_trajectories,replicate_1,replicate_2,replicate_3,mean,sd,median,min,max,range
protein_rmsd_mean_A,Protein backbone RMSD,A7,3,2.455259872963881,1.982271138475153,2.3842165427407127,2.2739158513932494,0.2550573810382842,2.3842165427407127,1.982271138475153,2.455259872963881,0.472988734488728
protein_rmsd_mean_A,Protein backbone RMSD,A8,3,1.998605612174398,2.3649037328448927,2.4465525908663404,2.2700206452952103,0.238571214015921,2.3649037328448927,1.998605612174398,2.4465525908663404,0.44794697869194233
protein_rmsd_mean_A,Protein backbone RMSD,A15,3,2.3021978743014153,2.232725070031239,2.2728985605511793,2.269273834961278,0.034877953064824864,2.2728985605511793,2.232725070031239,2.3021978743014153,0.06947280427017644
protein_rmsd_mean_A,Protein backbone RMSD,AC-5216,3,2.4108366751431984,2.483525503920594,2.3954596841192526,2.429940621061015,0.04703847060166524,2.4108366751431984,2.3954596841192526,2.483525503920594,0.08806581980134132
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A3,3,12.621890547263682,32.72636815920398,1.6467661691542288,15.665008291873962,15.76168896948064,12.621890547263682,1.6467661691542288,32.72636815920398,31.07960199004975
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A7,3,29.696517412935325,34.288557213930346,23.915422885572134,29.300165837479266,5.197913030925562,29.696517412935325,23.915422885572134,34.288557213930346,10.373134328358212
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A8,3,20.243781094527364,18.199004975124375,15.27363184079602,17.90547263681592,2.4980425989794854,18.199004975124375,15.27363184079602,20.243781094527364,4.9701492537313445
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,A15,3,15.348258706467664,10.562189054726367,14.139303482587064,13.349917081260365,2.48876753550415,14.139303482587064,10.562189054726367,15.348258706467664,4.786069651741297
fixed_contacts_final2ns_mean,Fixed-pocket contacts final 2 ns,AC-5216,3,20.855721393034827,11.26865671641791,17.71641791044776,16.613598673300164,4.887751014605394,17.71641791044776,11.26865671641791,20.855721393034827,9.587064676616917
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A3,3,7.578078065938618,6.607966985275496,13.48312016387484,9.223055071696317,3.72107441734304,7.578078065938618,6.607966985275496,13.48312016387484,6.875153178599344
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A7,3,4.36164602118345,6.112075293242042,7.536170385370207,6.003297233265234,1.5900552614463035,6.112075293242042,4.36164602118345,7.536170385370207,3.174524364186757
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A8,3,5.1655590534210205,6.944448250443188,7.977271668353484,6.6957596574058975,1.4222575257219552,6.944448250443188,5.1655590534210205,7.977271668353484,2.811712614932463
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,A15,3,8.536951655772194,10.645992729794326,7.614251948114651,8.932398777893724,1.5540742780255297,8.536951655772194,7.614251948114651,10.645992729794326,3.031740781679675
com_to_pocket_final2ns_mean_A,COM-to-pocket distance final 2 ns,AC-5216,3,5.704352727576868,8.199695459052698,8.107482060864196,7.337176749164588,1.4148185543760683,8.107482060864196,5.704352727576868,8.199695459052698,2.49534273147583
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A3,3,-1.4468257873031476,20.18939275757103,-4.209812839251358,4.8442513770055085,13.360896203266703,-1.4468257873031476,-4.209812839251358,20.18939275757103,24.39920559682239
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A7,3,3.38561354245417,-4.678502714010854,2.7308029232116944,0.4793045838850034,4.4787750924152245,2.7308029232116944,-4.678502714010854,3.38561354245417,8.064116256465024
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A8,3,5.74561498245993,2.3093852375409476,0.896183584734338,2.9837279349117387,2.4940528814431104,2.3093852375409476,0.896183584734338,5.74561498245993,4.849431397725592
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A15,3,1.6178744714978848,-3.646462585850344,-12.185664742658972,-4.738084285670477,6.966215052726277,-3.646462585850344,-12.185664742658972,1.6178744714978848,13.803539214156856
