endpoint,endpoint_label,candidate_1,candidate_2,n_1,n_2,mean_1,mean_2,mean_difference_1_minus_2,median_1,median_2,mann_whitney_U,exact_p_value,hedges_g_1_minus_2,cliffs_delta_1_vs_2,analysis_status,holm_p_all_pairs
fixed_contacts_delta_final_minus_first,Fixed-pocket contact drift,A15,AC-5216,3,3,-4.738084285670477,-5.684350737402948,0.9462664517324706,-3.646462585850344,-5.179632718530872,5.0,1.0,0.12849682865130804,0.1111111111111111,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A3,A7,3,3,0.3906238421419245,-0.2783790500704733,0.6690028922123978,0.1271456734672611,-0.0956515506798565,5.0,1.0,0.2568721356590713,0.1111111111111111,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A3,A8,3,3,0.3906238421419245,-1.0343803506049876,1.4250041927469121,0.1271456734672611,-1.277585698260121,6.0,0.7,0.4987959915767299,0.3333333333333333,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A3,A15,3,3,0.3906238421419245,0.8750296627404666,-0.48440582059854204,0.1271456734672611,1.1344246845664898,4.0,1.0,-0.18304861415327375,-0.1111111111111111,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A3,AC-5216,3,3,0.3906238421419245,1.0223718077870971,-0.6317479656451725,0.1271456734672611,1.3885757000757346,4.0,1.0,-0.23740149697620896,-0.1111111111111111,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A7,A8,3,3,-0.2783790500704733,-1.0343803506049876,0.7560013005345143,-0.0956515506798565,-1.277585698260121,6.0,0.7,0.5364787083294892,0.3333333333333333,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A7,A15,3,3,-0.2783790500704733,0.8750296627404666,-1.1534087128109398,-0.0956515506798565,1.1344246845664898,1.0,0.2,-1.268293904071897,-0.7777777777777778,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A7,AC-5216,3,3,-0.2783790500704733,1.0223718077870971,-1.3007508578575704,-0.0956515506798565,1.3885757000757346,1.0,0.2,-1.366986482397735,-0.7777777777777778,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A8,A15,3,3,-1.0343803506049876,0.8750296627404666,-1.9094100133454541,-1.277585698260121,1.1344246845664898,1.0,0.2,-1.2856171467619437,-0.7777777777777778,exploratory,1.0
com_delta_final_minus_first_A,COM-to-pocket drift,A8,AC-5216,3,3,-1.0343803506049876,1.0223718077870971,-2.0567521583920847,-1.277585698260121,1.3885757000757346,1.0,0.2,-1.3608510008162862,-0.7777777777777778,exploratory,1.0
